Class Name,Source Image,Target Image,Similarity
5_train,57156.png,22783.png,0.015087962
5_train,14854.png,59960.png,0.0151132345
5_train,37606.png,53715.png,0.015219152
5_train,5414.png,51990.png,0.015399754
5_train,51990.png,59968.png,0.015575945
5_train,53715.png,12572.png,0.015703857
5_train,47940.png,11115.png,0.016383052
5_train,24180.png,5414.png,0.016739845
5_train,5414.png,55322.png,0.01695931
5_train,36774.png,14389.png,0.01716566
5_train,41693.png,56813.png,0.017172635
5_train,14218.png,34365.png,0.017436862
5_train,42447.png,48971.png,0.01745683
5_train,53715.png,24180.png,0.018172503
5_train,34365.png,30448.png,0.018318474
5_train,36332.png,56813.png,0.018642366
5_train,13248.png,22783.png,0.018908322
5_train,47940.png,38610.png,0.020063281
5_train,47940.png,56939.png,0.020076394
5_train,42046.png,34365.png,0.02023077
5_train,2758.png,34365.png,0.020284474
5_train,34841.png,28512.png,0.020606339
5_train,32720.png,17543.png,0.020679593
5_train,26034.png,57055.png,0.021284282
5_train,39972.png,34365.png,0.021409988
5_train,50650.png,34365.png,0.021906257
5_train,54880.png,57055.png,0.02201724
5_train,57055.png,13460.png,0.02205956
5_train,5414.png,21034.png,0.02221179
5_train,22783.png,31768.png,0.022714853
5_train,51990.png,20837.png,0.023035109
5_train,56939.png,36774.png,0.023106456
5_train,47940.png,34365.png,0.023123503
5_train,14854.png,13699.png,0.02315414
5_train,37551.png,34365.png,0.023185313
5_train,8023.png,36774.png,0.023335278
5_train,22783.png,27296.png,0.02349484
5_train,52121.png,35274.png,0.023676038
5_train,42447.png,42267.png,0.023783147
5_train,5688.png,56813.png,0.023804426
5_train,56813.png,42447.png,0.023937285
5_train,56813.png,45470.png,0.02406764
5_train,57942.png,53715.png,0.024290383
5_train,57182.png,39021.png,0.024296999
5_train,22783.png,13732.png,0.024422884
5_train,38360.png,34821.png,0.02453065
5_train,28748.png,34817.png,0.02461958
5_train,12572.png,14389.png,0.02466172
5_train,38610.png,30980.png,0.024666846
5_train,32757.png,52121.png,0.024710119
5_train,12572.png,8023.png,0.024824321
5_train,47940.png,53715.png,0.024855852
5_train,24180.png,56360.png,0.024992287
5_train,22801.png,36774.png,0.024993718
5_train,52255.png,46924.png,0.025114357
5_train,34002.png,14218.png,0.02526325
5_train,42447.png,38577.png,0.025535762
5_train,35702.png,34821.png,0.02562058
5_train,59960.png,55958.png,0.025630057
5_train,38610.png,50650.png,0.025660813
5_train,2461.png,47940.png,0.02567178
5_train,42447.png,38655.png,0.02573651
5_train,38610.png,49460.png,0.025998235
5_train,56813.png,13619.png,0.026057303
5_train,37830.png,34821.png,0.026070356
5_train,22783.png,47848.png,0.0260908
5_train,53715.png,8744.png,0.026113093
5_train,9607.png,51990.png,0.026168108
5_train,56813.png,57182.png,0.026413202
5_train,21360.png,56813.png,0.02641344
5_train,31687.png,34821.png,0.02643317
5_train,34365.png,5550.png,0.026550174
5_train,42046.png,34002.png,0.026590943
5_train,59960.png,27627.png,0.026633322
5_train,22783.png,27002.png,0.026727319
5_train,34365.png,37606.png,0.02680087
6_train,3136.png,35026.png,0.026654422
6_train,3136.png,53398.png,0.036594868
6_train,3136.png,33790.png,0.036844373
6_train,18908.png,3136.png,0.03693819
6_train,4170.png,3136.png,0.03817445
6_train,3136.png,1190.png,0.041248918
6_train,3136.png,2588.png,0.041342437
6_train,3136.png,12220.png,0.041778445
6_train,27812.png,47962.png,0.042589724
6_train,3136.png,35734.png,0.042608976
6_train,53398.png,39709.png,0.043056488
6_train,3136.png,38936.png,0.04340571
6_train,3136.png,9860.png,0.04461646
6_train,3136.png,770.png,0.045167685
6_train,28066.png,15183.png,0.04571253
6_train,34698.png,3136.png,0.047040224
6_train,44128.png,3136.png,0.04726541
6_train,35026.png,45580.png,0.04765016
6_train,18220.png,16188.png,0.04803455
6_train,9075.png,8224.png,0.048213482
6_train,3136.png,15134.png,0.048914313
6_train,3136.png,30856.png,0.049476624
6_train,3136.png,24616.png,0.049906433
6_train,56210.png,3136.png,0.050242662
6_train,3136.png,22962.png,0.050625622
6_train,53398.png,24934.png,0.05179417
6_train,53398.png,34765.png,0.051964164
6_train,21126.png,3136.png,0.05212629
6_train,53398.png,18904.png,0.05241728
6_train,24944.png,3136.png,0.052480757
6_train,45580.png,53398.png,0.05387664
6_train,50584.png,29881.png,0.054471016
6_train,49083.png,8224.png,0.05470735
6_train,53398.png,30770.png,0.05471486
6_train,26483.png,27812.png,0.05505222
6_train,3136.png,47611.png,0.055128098
6_train,8224.png,48945.png,0.05530882
6_train,29881.png,26114.png,0.05624777
6_train,55626.png,24242.png,0.05643308
6_train,8224.png,14764.png,0.05650854
6_train,35026.png,30770.png,0.05665064
6_train,13912.png,3136.png,0.05745393
6_train,51354.png,9075.png,0.058798015
6_train,3757.png,3136.png,0.059154034
6_train,55112.png,55626.png,0.05935037
6_train,10089.png,53398.png,0.05938959
6_train,50584.png,31521.png,0.05974275
6_train,48945.png,28066.png,0.059768975
