Índice: 184, Valor CSG: 0.9998996990973023, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01877.png
Índice: 185, Valor CSG: 0.9956956956956957, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01883.png
Índice: 186, Valor CSG: 0.9970883557433324, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01887.png
Índice: 187, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01894.png
Índice: 188, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01905.png
Índice: 189, Valor CSG: 0.9998998998998999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01909.png
Índice: 190, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01933.png
Índice: 191, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01936.png
Índice: 192, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01947.png
Índice: 193, Valor CSG: 0.9995995995996411, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01957.png
Índice: 194, Valor CSG: 0.9998996990973023, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01964.png
Índice: 195, Valor CSG: 0.9998, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01979.png
Índice: 196, Valor CSG: 0.9997999855748894, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01981.png
Índice: 197, Valor CSG: 0.9996987954216927, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01993.png
Índice: 198, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01996.png
Índice: 199, Valor CSG: 0.9998998926728974, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\02018.png
Índice: 200, Valor CSG: 0.9966966966966967, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\02029.png
Índice: 201, Valor CSG: 0.9953907815631262, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\02034.png
Índice: 202, Valor CSG: 0.9998996990972919, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\02044.png
Índice: 203, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\02046.png
Índice: 204, Valor CSG: 0.9992, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\02049.png
